tract_geoid,HTN_crude_prev,DM_crude_prev
04013420105,31.1,9.3
04013422622,28.5,9
04013422626,53.4,18.6
04013420401,31.5,12
04013319907,32.5,9.6
04013611600,29.8,8.8
04013522903,30.3,13.7
04013420902,28,9.2
04013216821,41.7,12.9
04013216829,40.5,11.6
04013422625,45.1,16.7
04013421801,26.3,9.7
04013612301,22.2,6.4
04013216861,31.3,9.4
04013523005,27.4,8.7
04013615001,28,7.9
04013422638,23.5,7.3
04013319910,28.2,8.5
04013216860,27.7,8.2
04013116615,30.3,13.7
04013615300,54.6,20
04013116607,24.7,9
04013116202,28.2,11.7
04013420506,26.7,9.5
04013422203,25,8.2
04013114705,28,8.6
04013610902,24.9,7.2
04013422212,30.9,9.3
04013319600,25.5,7.8
04013420709,48.9,17.3
04013216810,35.8,10.6
04013422628,36.2,14.1
04013422211,33.9,10.8
04013613500,34.7,11.2
04013422509,28.3,9
04013420707,45.4,15.8
04013420104,39.1,13.2
04013116732,33.7,14
04013217700,29.8,9.3
04013216840,34.5,10
04013422629,32.5,10.6
04013217800,29.4,8.7
04013116000,31,12.1
04013422506,28.5,8.8
04013217501,27.7,9.7
04013422305,30.8,10.2
04013614000,30.1,9.3
04013319705,28.2,10
04013522901,27.4,9
04013420504,30,10.1
04013216819,38.5,11.3
04013420303,29.3,9.5
04013116400,31.6,14.3
04013422639,48,14
04013420108,32.8,9.7
04013420116,45.8,16.9
04013422401,22.6,6.9
04013610700,34.7,10.8
04013421702,40.1,17.2
04013615202,32.5,9.5
04013610400,27.9,8
04013613100,42.1,11.8
04013614800,28.2,9.2
04013613800,28.7,8.4
04013612700,35.4,10.4
04013422651,25.8,7.9
04013216901,36.2,11.2
04013421303,26.6,9.8
04013422643,25.4,7.6
04013318501,27.5,9
04013422307,25.5,8
04013218200,22.3,6.7
04013422227,30.7,10.2
04013114402,32.9,15.7
04013117000,30.2,12.1
04013116800,35.6,15.6
04013319403,27.2,8.3
04013216839,31.7,8.8
04013112602,31.6,16.7
04013217001,36.3,10.5
04013116203,28.6,10.3
04013420208,28.8,9.6
04013610100,36.6,12.8
04013612200,24.8,7.1
04013611700,31.3,9.4
04013116614,26.4,10.8
04013614602,24.5,7.5
04013319906,28.9,8.4
04013217203,38.1,11.5
04013421501,30.2,12.8
04013420216,34.4,10.7
04013217002,28.6,8.2
04013116720,29,9.2
04013420304,32.8,9.9
04013216820,38.1,11.6
04013422647,22.5,6.3
04013422107,25.2,8.8
04013116737,30.6,10.6
04013422511,26.7,8.1
04013420209,43.1,15.2
04013116606,28.1,11.1
04013116714,28.5,8.9
04013117300,36.8,19.4
04013422607,51.3,16.9
04013422510,27.7,8.5
04013523007,25.3,8.6
04013115900,31.3,14.2
04013320100,20.8,5.8
04013523006,29,10
04013420710,37.3,13.4
04013420114,28.9,9.8
04013116715,31,9.8
04013422632,41.8,15.1
04013614400,32.6,11.4
04013421502,30.4,12.8
04013610301,30.5,8.7
04013421601,29.7,11.8
04013218100,27,8.7
04013115700,29.9,14.1
04013422624,53.9,18.5
04013114200,30.8,13.9
04013116736,33.3,14.8
04013216849,34.5,9.9
04013113201,26.9,11.7
04013116900,32.2,15.5
04013420109,32.7,10.2
04013422308,27.1,8.8
04013615002,26.7,7.1
04013112900,30,11.6
04013216826,35.6,10.2
04013420800,28.6,9.6
04013614900,26.4,7.8
04013116729,29.1,8.4
04013116605,25.6,9.1
04013420604,30.9,9.3
04013421602,29.4,12.7
04013115500,35.1,18.1
04013422512,26.5,8.1
04013522802,19,5.4
04013421202,28.1,9.7
04013114302,37.8,18.2
04013216816,30.6,8.7
04013216859,33.4,9.7
04013116721,28.3,8.2
04013319905,30.2,9.5
04013422657,24.9,7.2
04013217900,27.1,7.8
04013612600,29.1,8.2
04013217600,23.9,6.7
04013422653,30.9,9.8
04013420110,35.4,11.5
04013319904,28.9,8.9
04013318800,18.9,5.4
04013319300,25,9.2
04013113900,40.7,20.7
04013420704,30.6,10.2
04013422309,24.5,7.6
04013319802,21.1,6
04013319801,25.8,8.6
04013612000,28,8
04013420402,25.2,7.2
04013114500,30.6,15.2
04013116713,28.8,8.9
04013113701,27.4,10.7
04013422660,29.3,9.5
04013115400,36.3,19.4
04013422503,25.1,8.3
04013116734,32.5,13.3
04013420503,30.4,10.8
04013420215,28.1,9.2
04013217204,23.8,7
04013614200,32.6,9.9
04013613000,32.4,9.4
04013420901,27.5,9.8
04013114100,26.9,8.3
04013113202,29.5,12.8
04013113503,30.4,14.3
04013523008,28.3,9.8
04013319908,27.6,8.9
04013116735,30.5,13.4
04013613400,35.2,11
