GEOID,chapter
040019427004125,Red Valley Chapter
040019450023003,Houck Chapter
040019440001098,Sawmill Chapter
040179400152259,Bird Springs Chapter
040179400152267,Bird Springs Chapter
040059451001038,Leupp Chapter
040059422023037,Tonalea Chapter
040019427002037,Mexican Water Chapter
040019449012112,Kinlichee Chapter
040179423003107,Shonto Chapter
040179400142086,White Cone Chapter
040019442012120,Nazlini Chapter
040019443011000,Many Farms Chapter
040019427004004,Beclabito Chapter
040019441004076,Tsaile-Wheatfields Chapter
040059451001060,Leupp Chapter
040019443011054,Many Farms Chapter
040059450001037,Bodaway Chapter
040019449022115,Klagetoh Chapter
040059422013079,Tonalea Chapter
040059422012233,Kaibeto Chapter
040059450003162,Bodaway Chapter
040059422013055,Tonalea Chapter
040059422022006,Kaibeto Chapter
040019449021132,Steamboat Chapter
040019449021133,Steamboat Chapter
040059451003122,Leupp Chapter
040019449023125,Wide Ruins Chapter
040019443012003,Rough Rock Chapter
040059450003107,Bodaway Chapter
040059422021006,Navajo Mountain Chapter
040059451003008,Tolani Lake Chapter
040179400082060,Hard Rock Chapter
040019449021055,Steamboat Chapter
040019443011089,Many Farms Chapter
040019441004004,Tsaile-Wheatfields Chapter
040179400142020,White Cone Chapter
040059422013106,Tonalea Chapter
040059422023106,Inscription House Chapter
040059422023008,Inscription House Chapter
040019443021042,Chinle Chapter
040019443012060,Rough Rock Chapter
040019443022001,Tselani Chapter
040059422012122,Coppermine Chapter
040059422013006,Tonalea Chapter
040059422013004,Tonalea Chapter
040179424001222,Chilchinbeto Chapter
040019449022101,Cornfields Chapter
040019450014032,St. Michaels Chapter
040019451002010,Houck Chapter
040019441004107,Tsaile-Wheatfields Chapter
040019443022177,Tachee Chapter
040019450013005,Fort Defiance Chapter
040179400132012,Jeddito Chapter
040179400113018,Piñon Chapter
040179424001265,Kayenta Chapter
040179400082086,Hard Rock Chapter
040019449022068,Cornfields Chapter
040179425002018,Kayenta Chapter
040179424002109,Chilchinbeto Chapter
040059451002166,Leupp Chapter
040059450003122,Bodaway Chapter
040179400101019,Whippoorwill Chapter
040179423002037,Shonto Chapter
040179400113071,Piñon Chapter
040059422022062,Kaibeto Chapter
040059422012205,Coppermine Chapter
040179400111003,Tachee Chapter
040059422011026,LeChee Chapter
040059422021111,Inscription House Chapter
040059422012206,Coppermine Chapter
040179400113005,Piñon Chapter
040179400081107,Forest Lake Chapter
040179400153051,Dilcon Chapter
040179400082015,Hard Rock Chapter
040179400101033,Whippoorwill Chapter
040179425002013,Kayenta Chapter
040019450023016,Houck Chapter
040019427004006,Red Valley Chapter
040059422011121,Coppermine Chapter
040179424002034,Chilchinbeto Chapter
040179400152203,Bird Springs Chapter
040179425002027,Kayenta Chapter
040179400143023,Greasewood Chapter
040179400152134,Teesto Chapter
040059452001010,Tuba City Chapter
040059422012065,Coppermine Chapter
040019426001063,Dennehotso Chapter
040019449013001,Kinlichee Chapter
040019440001175,Nazlini Chapter
040019441005108,Lukachukai Chapter
040179400112093,Piñon Chapter
040019440001256,Fort Defiance Chapter
040019427001026,Teec Nos Pos Chapter
040019427001005,Teec Nos Pos Chapter
040059422012046,Coppermine Chapter
040179400081093,Forest Lake Chapter
040179400101028,Whippoorwill Chapter
040179424002078,Chilchinbeto Chapter
040179424001267,Shonto Chapter
040059422012010,Coppermine Chapter
040059449001010,Tuba City Chapter
040059450003065,Bodaway Chapter
040019427002097,Rock Point Chapter
040019449023154,Wide Ruins Chapter
040019441002091,Round Rock Chapter
040019441004003,Tsaile-Wheatfields Chapter
040059450001227,Cameron Chapter
040059422023059,Kaibeto Chapter
040019443021066,Nazlini Chapter
040019449013055,Ganado Chapter
040019449024095,Cornfields Chapter
040019449022012,Cornfields Chapter
040059450003017,Bodaway Chapter
040019450021097,Lupton Chapter
040019443012086,Black Mesa Chapter
040019427004018,Red Valley Chapter
040019449011005,Wide Ruins Chapter
040059451002153,Bird Springs Chapter
040019449014140,Klagetoh Chapter
040019450023047,Houck Chapter
040019443021030,Nazlini Chapter
040019427002128,Rock Point Chapter
040019427002202,Rock Point Chapter
040019427002207,Rock Point Chapter
040019450013020,St. Michaels Chapter
040019427002074,Mexican Water Chapter
040019440002019,Fort Defiance Chapter
040019449022070,Cornfields Chapter
040019449022072,Cornfields Chapter
040019449021188,Steamboat Chapter
040019427003044,Rock Point Chapter
040059422021122,LeChee Chapter
040059450001294,Cameron Chapter
040059422013038,Tonalea Chapter
040059422022053,Kaibeto Chapter
040059422022104,Kaibeto Chapter
040019450022087,St. Michaels Chapter
040019450023039,Houck Chapter
040179400103091,Piñon Chapter
040179400081034,Forest Lake Chapter
040059451004159,Coalmine Mesa Chapter
040059450003010,Bodaway Chapter
040059451003030,Tolani Lake Chapter
040059451001055,Leupp Chapter
040059451002044,Leupp Chapter
040019427002199,Rock Point Chapter
040019427001050,Beclabito Chapter
040019451002055,Nahatadziil Chapter
